region_key,region_name,research_status,contribution_status,contribution_year,reference_monthly,contribution_min,contribution_max,calc_base_status,calc_base_year,calc_base_value,calc_base_unit,source_level,contribution_source_url,calc_base_source_url,fallback_eligible,runtime_eligible,note
beijing,北京,current_verified,current,2026,,7270,36348,recent_fallback,2025,12049,yuan/month,official_primary,https://rsj.beijing.gov.cn/xxgk/2024zcwj/202608/t20260821_4831461.html,https://rsj.beijing.gov.cn/xxgk/2024zcwj/202511/t20251107_4265291.html,true,true,北京缴费参数当前可用；计发基数以2025最近官方值保底并必须标年份。
tianjin,天津,current_verified,current,2026,,5180,25902,missing,,,,official_primary,https://www.tj.gov.cn/sy/tjxw/202608/t20260823_7356881.html,,true,true,灵活就业/个人参保可在区间内选择；计发基数待补。
hebei,河北,fallback_candidate,recent_fallback,2025,6678,4007,20034,recent_fallback,2025,7410,yuan/month,official_reprint_unlinked,,,false,false,数值已交叉核对，但需补可长期访问的省级官方原文URL后再进入自动带入候选。
shanxi,山西,current_verified,current,2026,7073,4244,21219,missing,,,,official_primary,https://shanxi.chinatax.gov.cn/son/detail/sf-11407-522-1824057,,true,true,灵活就业60%—300%。
neimenggu,内蒙古,current_verified,current,2026,8430,5058,25290,missing,,,,official_primary,https://neimenggu.chinatax.gov.cn/xxgk/tzgg/202608/t20260831_897017.html,,true,true,官方公布60%—300%多档，灵活就业养老缴费比例20%。
liaoning,辽宁,fallback_verified_subregional,recent_fallback,2025,,4359,21792,recent_fallback,2025,,,official_primary,https://rst.ln.gov.cn/rst/zxzx/gsgg/2025092012232024861/index.shtml,https://rst.ln.gov.cn/rst/zxzx/gsgg/2025092012232024861/index.shtml,true,true,计发基数分全省（不含沈阳大连）、沈阳、大连，见subregions。
jilin,吉林,fallback_verified_subregional,recent_fallback,2025,,4393.2,21966,recent_fallback,2025,,yuan/year,official_primary,https://xxgk.jl.gov.cn/zcbm/fgw_97992/xxgkmlqy/202509/t20250922_9324837.html,https://xxgk.jl.gov.cn/zcbm/fgw_97992/xxgkmlqy/202509/t20250922_9324837.html,true,true,缴费适用期2025-07-01至2026-06-30，当前已过期，作为最近官方值；农垦另算，见subregions。
heilongjiang,黑龙江,current_partial,current,2026,7705,,,current,2026,,,official_primary,https://hrss.hlj.gov.cn/hrss/c116755/202603/c00_31920862.shtml,https://hrss.hlj.gov.cn/hrss/c116755/202603/c00_31920862.shtml,true,false,官方明确月平均工资7705用于企业职工养老缴费及养老金计发，但本轮未直接核到最终上下限/产品计发基数字段口径，禁止自行推导冒充公告值。
shanghai,上海,current_partial,current,2026,,7546,37731,missing,,,,official_primary,https://rsj.sh.gov.cn/tdjjf_17554/20260824/t0035_1443297.html,,true,true,2026-07-01起；计发基数待补。
jiangsu,江苏,fallback_verified,recent_fallback,2025,,4952,24762,missing,,,,official_primary,https://jshrss.jiangsu.gov.cn/art/2025/9/18/art_77277_11643402.html,,true,true,灵活就业可在上下限内选；2026数值待核。
zhejiang,浙江,fallback_verified,recent_fallback,2025,,4986,25299,missing,,,,official_primary,https://zhejiang.chinatax.gov.cn/art/2025/12/11/art_13314_645797.html,,true,true,2025最近官方值保底。
anhui,安徽,fallback_verified_reprint,recent_fallback,2025,,4311,21556,missing,,,,official_local_reprint,https://www.ahjd.gov.cn/Jczwgk/show/3644676.html,,true,true,地方政府官方转载，可保底；仍补省级原文。
fujian,福建,fallback_verified,recent_fallback,2025,,4043,22607,recent_fallback,2025,7932,yuan/month,official_primary,https://rst.fujian.gov.cn/zw/zfxxgk/zfxxgkml/zyywgz/ldgx/202509/t20250922_7013397.htm,https://rst.fujian.gov.cn/zw/zfxxgk/zfxxgkml/zyywgz/ldgx/202509/t20250922_7013397.htm,true,true,2025缴费上下限和计发基数均有官方原文。
jiangxi,江西,fallback_verified_reprint,recent_fallback,2025,,3915,19575,missing,,,,official_local,https://xjq.nc.gov.cn/xjqrmzf/shbx/202604/8ac7215a9886424ebcc603304c99e7a8.shtml,,true,true,地方政府官方页面列出灵活就业60%—300%档位；仍补省级原文。
shandong,山东,fallback_verified_reprint,recent_fallback,2025,,4504,22518,missing,,,,official_local_reprint,https://www.jinan.gov.cn/col/col118356/art/2026/art_68ec8fccb74b466f915ae5db4cf93951.html,,true,true,7506是缴费工资指数等用途参数，暂不当养老金计发基数。
henan,河南,fallback_verified_reprint,recent_fallback,2025,6385,3831,19155,missing,,,,official_local_reprint,https://public.zzgx.gov.cn/D280901X/9691790.jhtml,,true,true,2025-07-01起；仍补省级原文。
hubei,湖北,fallback_verified_subregional,recent_fallback,2025,,,,missing,,,,official_primary,https://rst.hubei.gov.cn/zfxxgk/zc/qtzdgkwj/202509/t20250919_5775307.shtml,,true,true,官方分三档，不能存一个全省统一值；见subregions。
